Country Or Territory,NUTS Code,Air Pollutant,Category,Outcome,Health Indicator,Description Of Age Group,Population,Affected Population,Air Pollution Population Weighted Average [ug/m3],Value,Value for 100k Of Affected Population
Italy,IT,NO2,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,59028195,9788300,18.3,0,0.0
Italy,IT,NO2,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,59028195,45749377,18.3,2967,6.5
Italy,IT,NO2,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,59028195,45749377,18.3,21198,46.3
Italy,IT,NO2,Total burden of disease,Asthma - adults,Disability-Adjusted Life Years (DALY),>= 19 years of age,59028195,49239894,18.3,7076,14.4
Italy,IT,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,59028195,45749377,15.1,89862,196.4
Italy,IT,PM2.5,Mortality,Lung cancer,Years of Life Lost (YLL),>= 25 years of age,59028195,45749377,15.1,75568,165.2
Italy,IT,PM2.5,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,59028195,45749377,15.1,82633,180.6
Italy,IT,PM2.5,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,59028195,45749377,15.1,59083,129.1
Slovenia,SI,NO2,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,2107118,1480815,12.3,1390,93.9
Slovenia,SI,NO2,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,2107118,1591902,12.3,465,29.2
Slovenia,SI,PM2.5,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,2107118,394667,13.5,268,68.0
Slovenia,SI,PM2.5,Morbidity,Lung cancer,Years Lived with Disability (YLD),>= 25 years of age,2107118,1591902,13.5,27,1.7
Slovenia,SI,PM2.5,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,2107118,1480815,13.5,13275,896.5
Slovenia,SI,PM2.5,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,2107118,1591902,13.5,1086,68.2
Slovenia,SI,PM2.5,Mortality,Lung cancer,Years of Life Lost (YLL),>= 25 years of age,2107118,1591902,13.5,2464,154.8
Slovenia,SI,PM2.5,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,2107118,1591902,13.5,1844,115.9
Slovenia,SI,O3,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,2107118,1591902,100.2,18,1.2
Slovenia,SI,PM2.5,Morbidity,Dementia,Years Lived with Disability (YLD),>= 60 years of age,2107118,588296,13.5,2046,347.9
Slovenia,SI,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,2107118,1591902,13.5,300,18.9
Slovenia,SI,PM2.5,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,2107118,1591902,13.5,2512,157.8
Slovenia,SI,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,2107118,1591902,13.5,3418,214.7
Malta,MT,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,520155,434763,11.0,0,0.0
Malta,MT,NO2,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,520155,85391,11.0,0,0.1
Malta,MT,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,520155,400662,10.6,822,205.2
Malta,MT,PM2.5,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,520155,85391,10.6,38,45.4
Kosovo,XK,NO2,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,1773964,1054400,14.4,66,6.3
Kosovo,XK,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,1773964,1054400,14.4,57,5.4
Kosovo,XK,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,1773964,1054400,14.4,714,67.8
Kosovo,XK,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,1773964,533512,14.4,58,10.9
Kosovo,XK,O3,Mortality,All causes,Years of Life Lost (YLL),>= 0 years of age,1773964,1773963,4518.8,1580,89.1
Kosovo,XK,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,1773964,917156,16.8,2398,261.5
Kosovo,XK,PM2.5,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,1773964,917156,16.8,24937,2719.0
Kosovo,XK,PM2.5,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,1773964,533512,16.8,0,0.0
Kosovo,XK,PM2.5,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,1773964,1054400,16.8,3553,337.0
Kosovo,XK,PM2.5,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,1773964,1054400,16.8,5255,498.4
Kosovo,XK,PM2.5,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,1773964,1054400,16.8,4036,382.8
Luxembourg,LU,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,645393,470522,7.4,8,1.8
Malta,MT,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,520155,400662,11.0,80,20.0
Malta,MT,NO2,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,520155,400662,11.0,27,6.9
Malta,MT,NO2,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,520155,400662,11.0,117,29.3
Malta,MT,PM2.5,Morbidity,Ischemic heart disease,Years Lived with Disability (YLD),>= 25 years of age,520155,400662,10.6,14,3.6
Malta,MT,PM2.5,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,520155,400662,10.6,16,4.2
Bosnia and Herzegovina,BA,NO2,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,3464376,2609370,12.3,169,6.5
Bosnia and Herzegovina,BA,NO2,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,3464376,2609370,12.3,1059,40.6
Bosnia and Herzegovina,BA,NO2,Total burden of disease,Asthma - adults,Disability-Adjusted Life Years (DALY),>= 19 years of age,3464376,2824576,12.3,193,6.9
Bosnia and Herzegovina,BA,O3,Mortality,All causes,Years of Life Lost (YLL),>= 0 years of age,3464376,3464375,6115.6,3807,109.9
Bosnia and Herzegovina,BA,PM2.5,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,3464376,2609370,20.6,1569,60.2
Bosnia and Herzegovina,BA,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,3464376,2609370,20.6,1305,50.0
Bosnia and Herzegovina,BA,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,3464376,2609370,20.6,575,22.0
Bosnia and Herzegovina,BA,PM2.5,Mortality,Lung cancer,Years of Life Lost (YLL),>= 25 years of age,3464376,2609370,20.6,7806,299.2
Bosnia and Herzegovina,BA,PM2.5,Total burden of disease,Lung cancer,Disability-Adjusted Life Years (DALY),>= 25 years of age,3464376,2609370,20.6,7883,302.1
Sweden,SE,PM2.5,Morbidity,Dementia,Years Lived with Disability (YLD),>= 60 years of age,10444357,2686525,5.3,958,35.7
Sweden,SE,PM2.5,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,10444357,7438361,5.3,632,8.5
Sweden,SE,NO2,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,10444357,2313455,6.7,0,0.0
Sweden,SE,NO2,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,10444357,7438361,6.7,87,1.2
Sweden,SE,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,10444357,2313455,6.7,34,1.5
Sweden,SE,NO2,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,10444357,7438361,6.7,247,3.3
Sweden,SE,PM2.5,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,10444357,7438361,5.3,125,1.7
Sweden,SE,PM2.5,Morbidity,Ischemic heart disease,Years Lived with Disability (YLD),>= 25 years of age,10444357,7438361,5.3,19,0.3
Sweden,SE,PM2.5,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,10444357,7438361,5.3,877,11.8
Netherlands,NL,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,17589242,14074622,15.6,1806,12.8
Netherlands,NL,PM2.5,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,17589242,3514619,9.3,15,0.4
Netherlands,NL,PM2.5,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,17589242,12718935,9.3,6576,51.7
Netherlands,NL,PM2.5,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,17589242,12718935,9.3,8938,70.3
Poland,PL,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,36888341,27572623,12.3,7672,27.8
Poland,PL,NO2,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,36888341,27572623,12.3,12318,44.7
Poland,PL,O3,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,36888341,27572623,88.4,277,1.0
Poland,PL,O3,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,36888341,27572623,88.4,3026,11.0
Poland,PL,PM2.5,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,36888341,27572623,15.9,10284,37.3
Poland,PL,PM2.5,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,36888341,27572623,15.9,14404,52.2
Poland,PL,PM2.5,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,36888341,27572623,15.9,24688,89.5
Sweden,SE,NO2,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,10444357,7438361,6.7,94,1.3
Sweden,SE,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,10444357,7438361,6.7,35,0.5
Sweden,SE,NO2,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,10444357,6746574,6.7,536,8.0
Sweden,SE,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,10444357,7438361,6.7,124,1.7
Sweden,SE,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,10444357,7438361,6.7,143,1.9
Sweden,SE,NO2,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,10444357,7438361,6.7,122,1.6
Sweden,SE,O3,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,10444357,7438361,78.6,978,13.2
Sweden,SE,O3,Mortality,All causes,Years of Life Lost (YLL),>= 0 years of age,10444357,10444356,2320.0,2402,23.0
Sweden,SE,PM2.5,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,10444357,7438361,5.3,188,2.5
Andorra,AD,PM2.5,Morbidity,Ischemic heart disease,Years Lived with Disability (YLD),>= 25 years of age,79531,56188,7.3,0,1.5
Andorra,AD,PM2.5,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,79531,17807,7.3,0,0.6
Andorra,AD,PM2.5,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,79531,56188,7.3,18,33.7
Andorra,AD,PM2.5,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,79531,17807,7.3,3,21.6
Slovakia,SK,NO2,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,5434620,3695427,11.1,217,5.9
Slovakia,SK,NO2,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,5434620,4025891,11.1,566,14.1
Slovakia,SK,NO2,Total burden of disease,Asthma - adults,Disability-Adjusted Life Years (DALY),>= 19 years of age,5434620,4351172,11.1,142,3.3
Slovakia,SK,NO2,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,5434620,4025891,11.1,730,18.1
Slovakia,SK,O3,Mortality,All causes,Attributable deaths (AD),>= 25 years of age,5434620,4025891,94.3,874,21.7
Slovakia,SK,PM2.5,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,5434620,1083447,13.7,463,42.8
Slovakia,SK,PM2.5,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,5434620,3695427,13.7,40447,1094.5
Netherlands,NL,PM2.5,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,17589242,12718935,9.3,677,5.3
Netherlands,NL,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,17589242,12718935,9.3,818,6.4
Slovakia,SK,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,5434620,4025891,11.1,238,5.9
Slovakia,SK,NO2,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,5434620,1083447,11.1,0,0.0
Slovakia,SK,PM2.5,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,5434620,4025891,13.7,5142,127.7
Slovakia,SK,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,5434620,4025891,13.7,23129,574.5
Slovakia,SK,PM2.5,Total burden of disease,Lung cancer,Disability-Adjusted Life Years (DALY),>= 25 years of age,5434620,4025891,13.7,4371,108.6
Ireland,IE,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,5154073,1281295,9.0,86,6.8
Ireland,IE,NO2,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,5154073,3496692,9.0,123,3.5
Ireland,IE,NO2,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,5154073,3496692,9.0,325,9.3
Ireland,IE,PM2.5,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,5154073,3496692,7.0,197,5.7
Spain,ES,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,45352172,8195593,14.9,1261,15.4
Spain,ES,NO2,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,45352172,34392718,14.9,802,2.3
Spain,ES,NO2,Total burden of disease,Asthma - adults,Disability-Adjusted Life Years (DALY),>= 19 years of age,45352172,37156578,14.9,3559,9.6
Spain,ES,NO2,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,45352172,34392718,14.9,11128,32.4
Spain,ES,PM2.5,Morbidity,Dementia,Years Lived with Disability (YLD),>= 60 years of age,45352172,12005985,10.8,34813,290.0
Spain,ES,PM2.5,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,45352172,8195593,10.8,0,0.0
Spain,ES,PM2.5,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,45352172,34392718,10.8,13493,39.2
Spain,ES,PM2.5,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,45352172,34392718,10.8,20816,60.5
Slovenia,SI,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,2107118,1712450,12.3,98,5.8
Slovenia,SI,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,2107118,394667,12.3,48,12.2
Slovenia,SI,PM2.5,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,2107118,1591902,13.5,54,3.4
Latvia,LV,NO2,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,1875054,375032,9.0,1,0.4
Latvia,LV,NO2,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,1875054,1399510,9.0,22,1.6
Latvia,LV,NO2,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,1875054,1399510,9.0,450,32.2
Latvia,LV,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,1875054,1399510,77.6,2372,169.5
Latvia,LV,PM2.5,Morbidity,Ischemic heart disease,Years Lived with Disability (YLD),>= 25 years of age,1875054,1399510,8.7,77,5.5
Andorra,AD,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,79531,56188,12.9,4,7.4
Slovakia,SK,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,5434620,4351172,11.1,1,0.0
Slovakia,SK,NO2,Mortality,Asthma - adults,Years of Life Lost (YLL),>= 19 years of age,5434620,4351172,11.1,16,0.4
Slovakia,SK,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,5434620,3695427,13.7,3623,98.1
Slovakia,SK,PM2.5,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,5434620,1083447,13.7,0,0.0
Slovakia,SK,PM2.5,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,5434620,4025891,13.7,8353,207.5
Slovakia,SK,PM2.5,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,5434620,4025891,13.7,10791,268.0
Kosovo,XK,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,1773964,1240451,14.4,1,0.1
Kosovo,XK,NO2,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,1773964,533512,14.4,1,0.2
Kosovo,XK,NO2,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,1773964,1054400,14.4,715,67.9
Kosovo,XK,PM2.5,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,1773964,1054400,16.8,425,40.3
Kosovo,XK,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,1773964,1054400,16.8,259,24.7
Kosovo,XK,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,1773964,1054400,16.8,5270,499.9
Portugal,PT,NO2,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,9925856,7594707,11.9,1655,21.8
Portugal,PT,NO2,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,9925856,7594707,11.9,198,2.6
Portugal,PT,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,9925856,7594707,11.9,1518,20.0
Portugal,PT,PM2.5,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,9925856,1693564,9.3,790,46.7
Portugal,PT,PM2.5,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,9925856,7594707,9.3,730,9.6
Portugal,PT,PM2.5,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,9925856,7594707,9.3,8715,114.8
Portugal,PT,PM2.5,Total burden of disease,Lung cancer,Disability-Adjusted Life Years (DALY),>= 25 years of age,9925856,7594707,9.3,5305,69.9
Slovakia,SK,NO2,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,5434620,3695427,11.1,2428,65.7
Slovakia,SK,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,5434620,4025891,13.7,2516,62.5
Netherlands,NL,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,17589242,3514619,15.6,657,18.7
Ireland,IE,NO2,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,5154073,3496692,9.0,165,4.7
Ireland,IE,NO2,Total burden of disease,Asthma - adults,Disability-Adjusted Life Years (DALY),>= 19 years of age,5154073,3872777,9.0,167,4.3
Lithuania,LT,NO2,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,2805763,2119968,9.7,444,21.0
Lithuania,LT,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,2805763,521509,9.7,18,3.5
Lithuania,LT,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,2805763,2119968,78.1,3272,154.4
Lithuania,LT,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,2805763,2119968,9.7,9709,458.0
Lithuania,LT,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,2805763,2119968,9.7,98,4.6
Lithuania,LT,PM2.5,Total burden of disease,Lung cancer,Disability-Adjusted Life Years (DALY),>= 25 years of age,2805763,2119968,9.7,1273,60.1
Netherlands,NL,NO2,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,17589242,11584522,15.6,17979,155.2
Netherlands,NL,O3,Mortality,All causes,Years of Life Lost (YLL),>= 0 years of age,17589242,17589241,3490.7,6904,39.3
Netherlands,NL,PM2.5,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,17589242,3514619,9.3,1186,33.8
Netherlands,NL,PM2.5,Morbidity,Ischemic heart disease,Years Lived with Disability (YLD),>= 25 years of age,17589242,12718935,9.3,405,3.2
Netherlands,NL,PM2.5,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,17589242,12718935,9.3,2954,23.2
Netherlands,NL,PM2.5,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,17589242,12718935,9.3,7635,60.0
Poland,PL,PM2.5,Morbidity,Dementia,Years Lived with Disability (YLD),>= 60 years of age,36888341,9655570,15.9,37215,385.4
Poland,PL,PM2.5,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,36888341,7106308,15.9,0,0.0
Poland,PL,PM2.5,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,36888341,7106308,15.9,12091,170.2
Poland,PL,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,36888341,27572623,15.9,122665,444.9
Poland,PL,PM2.5,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,36888341,27572623,15.9,90245,327.3
Malta,MT,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,520155,85391,11.0,5,6.8
Malta,MT,NO2,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,520155,400662,11.0,2,0.7
Malta,MT,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,520155,85391,11.0,5,6.9
Malta,MT,O3,Mortality,All causes,Attributable deaths (AD),>= 0 years of age,520155,520154,6797.7,32,6.2
Malta,MT,PM2.5,Morbidity,Dementia,Years Lived with Disability (YLD),>= 60 years of age,520155,129067,10.6,288,223.8
Malta,MT,PM2.5,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,520155,85391,10.6,0,0.5
Malta,MT,PM2.5,Total burden of disease,Lung cancer,Disability-Adjusted Life Years (DALY),>= 25 years of age,520155,400662,10.6,279,69.8
Spain,ES,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,45352172,37156578,14.9,46,0.1
Sweden,SE,O3,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,10444357,7438361,78.6,98,1.3
Sweden,SE,NO2,Total burden of disease,Asthma - adults,Disability-Adjusted Life Years (DALY),>= 19 years of age,10444357,8130901,6.7,72,0.9
Sweden,SE,PM2.5,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,10444357,2313455,5.3,178,7.7
Sweden,SE,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,10444357,6746574,5.3,478,7.1
Sweden,SE,PM2.5,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,10444357,7438361,5.3,688,9.3
Slovenia,SI,NO2,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,2107118,1591902,12.3,266,16.8
Slovenia,SI,NO2,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,2107118,394667,12.3,0,0.0
Slovenia,SI,NO2,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,2107118,394667,12.3,0,0.0
Slovenia,SI,NO2,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,2107118,1591902,12.3,12,0.8
Romania,RO,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,19038068,3941499,15.9,669,17.0
Romania,RO,NO2,Mortality,Asthma - adults,Years of Life Lost (YLL),>= 19 years of age,19038068,15096568,15.9,140,0.9
Romania,RO,NO2,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,19038068,3941499,15.9,0,0.0
Romania,RO,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,19038068,13957171,14.2,80793,578.9
Monaco,MC,NO2,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,38338,27085,17.1,8,33.1
Monaco,MC,NO2,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,38338,27085,17.1,0,3.6
Monaco,MC,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,38338,8584,17.1,2,25.8
Monaco,MC,PM2.5,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,38338,27085,10.2,5,22.1
Monaco,MC,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,38338,24953,10.2,13,55.5
Monaco,MC,PM2.5,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,38338,27085,10.2,25,92.7
Romania,RO,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,19038068,15096568,15.9,497,3.3
Romania,RO,NO2,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,19038068,3941499,15.9,0,0.0
Romania,RO,NO2,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,19038068,13957171,15.9,7238,51.9
Ireland,IE,PM2.5,Morbidity,Dementia,Years Lived with Disability (YLD),>= 60 years of age,5154073,1048146,7.0,891,85.1
Ireland,IE,PM2.5,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,5154073,1281295,7.0,0,0.0
Ireland,IE,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,5154073,3496692,7.0,76,2.2
Ireland,IE,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,5154073,3496692,7.0,2179,62.3
Slovenia,SI,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,2107118,1712450,12.3,0,0.0
Slovenia,SI,NO2,Total burden of disease,Asthma - adults,Disability-Adjusted Life Years (DALY),>= 19 years of age,2107118,1712450,12.3,103,6.1
Sweden,SE,PM2.5,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,10444357,7438361,5.3,85,1.1
Slovakia,SK,PM2.5,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,5434620,4025891,13.7,1337,33.2
