Country Or Territory,NUTS Code,Air Pollutant,Category,Outcome,Health Indicator,Description Of Age Group,Population,Affected Population,Air Pollution Population Weighted Average [ug/m3],Value,Value for 100k Of Affected Population
Finland,FI,PM2.5,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,5546525,4087221,4.4,129,3.2
Finland,FI,PM2.5,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,5546525,4087221,4.4,171,4.2
Austria,AT,PM2.5,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,8978755,6750433,10.1,6128,90.8
Germany,DE,NO2,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,83233509,63277933,14.1,15345,24.3
Germany,DE,NO2,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,83233509,63277933,14.1,2026,3.2
Germany,DE,NO2,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,83233509,63277933,14.1,1619,2.6
Germany,DE,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,83233509,14635573,14.1,1921,13.1
Germany,DE,O3,Mortality,All causes,Years of Life Lost (YLL),>= 0 years of age,83233509,83233508,4826.4,57189,68.7
Germany,DE,PM2.5,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,83233509,63277933,9.2,19695,31.1
Germany,DE,PM2.5,Total burden of disease,Lung cancer,Disability-Adjusted Life Years (DALY),>= 25 years of age,83233509,63277933,9.2,51942,82.1
Estonia,EE,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,1330346,1058762,6.9,6,0.6
Estonia,EE,NO2,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,1330346,271583,6.9,0,0.0
Estonia,EE,NO2,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,1330346,271583,6.9,0,0.1
Estonia,EE,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,1330346,984319,6.9,12,1.2
Estonia,EE,NO2,Total burden of disease,Asthma - adults,Disability-Adjusted Life Years (DALY),>= 19 years of age,1330346,1058762,6.9,7,0.7
Estonia,EE,PM2.5,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,1330346,984319,5.6,16,1.6
Estonia,EE,PM2.5,Mortality,Lung cancer,Years of Life Lost (YLL),>= 25 years of age,1330346,984319,5.6,95,9.7
Estonia,EE,NO2,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,1330346,984319,6.9,32,3.3
Estonia,EE,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,1330346,984319,77.3,1291,131.2
Estonia,EE,O3,Mortality,All causes,Years of Life Lost (YLL),>= 0 years of age,1330346,1330345,1897.5,368,27.7
Estonia,EE,PM2.5,Morbidity,Ischemic heart disease,Years Lived with Disability (YLD),>= 25 years of age,1330346,984319,5.6,9,0.9
Estonia,EE,PM2.5,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,1330346,984319,5.6,25,2.6
Estonia,EE,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,1330346,984319,5.6,278,28.3
Denmark,DK,NO2,Mortality,Asthma - adults,Years of Life Lost (YLL),>= 19 years of age,5865367,4646637,7.5,4,0.1
Denmark,DK,NO2,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,5865367,4202648,7.5,91,2.2
Denmark,DK,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,5865367,1218729,7.5,20,1.7
Denmark,DK,NO2,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,5865367,4202648,7.5,218,5.2
Denmark,DK,PM2.5,Mortality,Lung cancer,Years of Life Lost (YLL),>= 25 years of age,5865367,4202648,7.7,2371,56.4
Denmark,DK,PM2.5,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,5865367,1218729,7.7,269,22.1
Denmark,DK,PM2.5,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,5865367,4202648,7.7,2433,57.9
